"filename", "language", "JavaScript JSX", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Shell Script", "Batch", "HTML", "PostCSS", "comment", "blank", "total"
"h:\AI_Interceptor\docs\development\debug-guide.md", "Markdown", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 60, 235
"h:\AI_Interceptor\docs\development\feature-upgrades-archived.md", "Markdown", 0, 0, 0, 616, 0, 0, 0, 0, 0, 4, 114, 734
"h:\AI_Interceptor\docs\development\final-dev-phase.md", "Markdown", 0, 0, 0, 861, 0, 0, 0, 0, 0, 0, 204, 1065
"h:\AI_Interceptor\docs\development\phase-history.md", "Markdown", 0, 0, 0, 362, 0, 0, 0, 0, 0, 0, 116, 478
"h:\AI_Interceptor\docs\development\troubleshooting\extension-toggle.md", "Markdown", 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 88, 342
"h:\AI_Interceptor\docs\development\troubleshooting\protection-status.md", "Markdown", 0, 0, 0, 660, 0, 0, 0, 0, 0, 0, 180, 840
"h:\AI_Interceptor\docs\development\troubleshooting\vault.md", "Markdown", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 65, 270
"h:\AI_Interceptor\docs\development\vault-ui-completed.md", "Markdown", 0, 0, 0, 529, 0, 0, 0, 0, 0, 0, 120, 649
"h:\AI_Interceptor\docs\features\feature_ai_profile_fill.md", "Markdown", 0, 0, 0, 868, 0, 0, 0, 0, 0, 0, 211, 1079
"h:\AI_Interceptor\docs\features\feature_alias_variations.md", "Markdown", 0, 0, 0, 530, 0, 0, 0, 0, 0, 0, 144, 674
"h:\AI_Interceptor\docs\features\feature_api_key_vault.md", "Markdown", 0, 0, 0, 654, 0, 0, 0, 0, 0, 0, 173, 827
"h:\AI_Interceptor\docs\features\feature_dev_terms_spellcheck.md", "Markdown", 0, 0, 0, 824, 0, 0, 0, 0, 0, 0, 183, 1007
"h:\AI_Interceptor\docs\features\feature_image_scanning.md", "Markdown", 0, 0, 0, 649, 0, 0, 0, 0, 0, 1, 133, 783
"h:\AI_Interceptor\docs\features\feature_prompt_templates.md", "Markdown", 0, 0, 0, 369, 0, 0, 0, 0, 0, 0, 97, 466
"h:\AI_Interceptor\docs\legacy\documentation-refactor-plan.md", "Markdown", 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 97, 403
"h:\AI_Interceptor\docs\legacy\phase_1_testing_archive.md", "Markdown", 0, 0, 0, 381, 0, 0, 0, 0, 0, 0, 135, 516
"h:\AI_Interceptor\docs\legacy\pii_sanitizer_pdd.md", "Markdown", 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 104, 385
"h:\AI_Interceptor\docs\legacy\pii_sanitizer_tdd_v2.md", "Markdown", 0, 0, 0, 795, 0, 0, 0, 0, 0, 0, 182, 977
"h:\AI_Interceptor\docs\legacy\refactor_v2.md", "Markdown", 0, 0, 0, 1030, 0, 0, 0, 0, 0, 0, 235, 1265
"h:\AI_Interceptor\docs\legacy\refactor_v2_planning\COMPREHENSIVE_REFACTOR_PLAN.md", "Markdown", 0, 0, 0, 2533, 0, 0, 0, 0, 0, 0, 549, 3082
"h:\AI_Interceptor\docs\legacy\refactor_v2_planning\README.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 14, 49
"h:\AI_Interceptor\docs\legacy\refactor_v2_planning\REFACTOR_VS_RESTART_ANALYSIS.md", "Markdown", 0, 0, 0, 653, 0, 0, 0, 0, 0, 1, 179, 833
"h:\AI_Interceptor\docs\platforms\COPILOT_WEBSOCKET_PLAN.md", "Markdown", 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 112, 461
"h:\AI_Interceptor\docs\platforms\GEMINI_IMPLEMENTATION_PLAN.md", "Markdown", 0, 0, 0, 365, 0, 0, 0, 0, 0, 0, 105, 470
"h:\AI_Interceptor\docs\platforms\GEMINI_XHR_INTERCEPTION_PLAN.md", "Markdown", 0, 0, 0, 435, 0, 0, 0, 0, 0, 0, 123, 558
"h:\AI_Interceptor\docs\platforms\PLATFORM_TEMPLATE.md", "Markdown", 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 131, 473
"h:\AI_Interceptor\docs\platforms\README.md", "Markdown", 0, 0, 0, 423, 0, 0, 0, 0, 0, 0, 102, 525
"h:\AI_Interceptor\docs\platforms\claude-notes.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"h:\AI_Interceptor\docs\platforms\copilot-complete.md", "Markdown", 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 80, 370
"h:\AI_Interceptor\docs\platforms\copilot.md", "Markdown", 0, 0, 0, 958, 0, 0, 0, 0, 0, 0, 236, 1194
"h:\AI_Interceptor\docs\platforms\gemini.md", "Markdown", 0, 0, 0, 898, 0, 0, 0, 0, 0, 0, 215, 1113
"h:\AI_Interceptor\docs\platforms\meta.md", "Markdown", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 127, 536
"h:\AI_Interceptor\docs\platforms\perplexity-OLD.md", "Markdown", 0, 0, 0, 423, 0, 0, 0, 0, 0, 0, 132, 555
"h:\AI_Interceptor\docs\platforms\perplexity-complete.md", "Markdown", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 59, 224
"h:\AI_Interceptor\docs\platforms\perplexity-implementation-notes.md", "Markdown", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 66, 288
"h:\AI_Interceptor\docs\platforms\platform-roadmap.md", "Markdown", 0, 0, 0, 577, 0, 0, 0, 0, 0, 0, 193, 770
"h:\AI_Interceptor\docs\platforms\platform-support-audit.md", "Markdown", 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 81, 339
"h:\AI_Interceptor\docs\platforms\poe.md", "Markdown", 0, 0, 0, 473, 0, 0, 0, 0, 0, 0, 137, 610
"h:\AI_Interceptor\docs\platforms\you-analysis.md", "Markdown", 0, 0, 0, 525, 0, 0, 0, 0, 0, 0, 160, 685
"h:\AI_Interceptor\docs\platforms\you.md", "Markdown", 0, 0, 0, 470, 0, 0, 0, 0, 0, 0, 138, 608
"h:\AI_Interceptor\docs\setup\FIREBASE_SETUP_GUIDE.md", "Markdown", 0, 0, 0, 699, 0, 0, 0, 0, 0, 0, 252, 951
"h:\AI_Interceptor\docs\setup\auth-implementation-summary.md", "Markdown", 0, 0, 0, 447, 0, 0, 0, 0, 0, 0, 104, 551
"h:\AI_Interceptor\docs\setup\chrome-identity-setup.md", "Markdown", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 42, 157
"h:\AI_Interceptor\docs\setup\deployment-auth-handler.md", "Markdown", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 44, 179
"h:\AI_Interceptor\docs\setup\enable-auth-providers.md", "Markdown", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 29, 101
"h:\AI_Interceptor\docs\setup\firebase-auth-redirect-fix.md", "Markdown", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 26, 94
"h:\AI_Interceptor\docs\setup\firebase-deploy.md", "Markdown", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 44, 162
"h:\AI_Interceptor\docs\setup\test-firebase-instructions.md", "Markdown", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 52, 197
"h:\AI_Interceptor\docs\testing\MVP_TEST_SIGN_OFF.md", "Markdown", 0, 0, 0, 363, 0, 0, 0, 0, 0, 0, 133, 496
"h:\AI_Interceptor\docs\testing\README.md", "Markdown", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 29, 86
"h:\AI_Interceptor\docs\testing\code-cleanup-plan.md", "Markdown", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 28, 97
"h:\AI_Interceptor\docs\testing\platform-testing-plan.md", "Markdown", 0, 0, 0, 305, 0, 0, 0, 0, 0, 0, 112, 417
"h:\AI_Interceptor\docs\testing\test-modernization-plan.md", "Markdown", 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 88, 284
"h:\AI_Interceptor\docs\testing\test-suite-status.md", "Markdown", 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 86, 325
"h:\AI_Interceptor\docs\user-guide\beta-tester-guide.md", "Markdown", 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 112, 390
"h:\AI_Interceptor\docs\user-guide\getting-started.md", "Markdown", 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 115, 368
"h:\AI_Interceptor\firebase.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"h:\AI_Interceptor\firestore.indexes.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"h:\AI_Interceptor\jest.config.js", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"h:\AI_Interceptor\package-lock.json", "JSON", 0, 0, 8212, 0, 0, 0, 0, 0, 0, 0, 1, 8213
"h:\AI_Interceptor\package.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
"h:\AI_Interceptor\playwright-report\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 3, 85
"h:\AI_Interceptor\playwright.config.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 16, 12, 53
"h:\AI_Interceptor\releases\README.md", "Markdown", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 34, 127
"h:\AI_Interceptor\releases\v0.1.0-beta\DOWNLOAD.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 23, 70
"h:\AI_Interceptor\releases\v0.1.0-beta\INSTALL.md", "Markdown", 0, 0, 0, 269, 0, 0, 0, 0, 0, 0, 83, 352
"h:\AI_Interceptor\scripts\README.md", "Markdown", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 10, 42
"h:\AI_Interceptor\scripts\firebase-setup.bat", "Batch", 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 11, 64
"h:\AI_Interceptor\scripts\firebase-setup.sh", "Shell Script", 0, 0, 0, 0, 0, 42, 0, 0, 0, 6, 12, 60
"h:\AI_Interceptor\src\auth\auth.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 16, 116
"h:\AI_Interceptor\src\auth\auth.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 11, 16, 107
"h:\AI_Interceptor\src\background\serviceWorker.ts", "TypeScript", 0, 0, 0, 0, 778, 0, 0, 0, 0, 179, 160, 1117
"h:\AI_Interceptor\src\content\content.ts", "TypeScript", 0, 0, 0, 0, 590, 0, 0, 0, 0, 75, 79, 744
"h:\AI_Interceptor\src\content\gemini-xhr-integration.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 35, 20, 107
"h:\AI_Interceptor\src\content\inject.js", "JavaScript JSX", 542, 0, 0, 0, 0, 0, 0, 0, 0, 112, 144, 798
"h:\AI_Interceptor\src\content\observers\gemini-observer.ts", "TypeScript", 0, 0, 0, 0, 265, 0, 0, 0, 0, 70, 59, 394
"h:\AI_Interceptor\src\content\observers\index.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 20, 9, 67
"h:\AI_Interceptor\src\content\observers\types.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 5, 27
"h:\AI_Interceptor\src\content\xhr-interceptor.ts", "TypeScript", 0, 0, 0, 0, 182, 0, 0, 0, 0, 92, 54, 328
"h:\AI_Interceptor\src\lib\aliasEngine.ts", "TypeScript", 0, 0, 0, 0, 286, 0, 0, 0, 0, 78, 58, 422
"h:\AI_Interceptor\src\lib\aliasVariations.ts", "TypeScript", 0, 0, 0, 0, 176, 0, 0, 0, 0, 74, 74, 324
"h:\AI_Interceptor\src\lib\apiKeyDetector.ts", "TypeScript", 0, 0, 0, 0, 128, 0, 0, 0, 0, 26, 18, 172
"h:\AI_Interceptor\src\lib\chromeTheme.ts", "TypeScript", 0, 0, 0, 0, 100, 0, 0, 0, 0, 34, 23, 157
"h:\AI_Interceptor\src\lib\firebase.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 8, 10, 55
"h:\AI_Interceptor\src\lib\firebaseService.ts", "TypeScript", 0, 0, 0, 0, 144, 0, 0, 0, 0, 33, 32, 209
"h:\AI_Interceptor\src\lib\redactionEngine.ts", "TypeScript", 0, 0, 0, 0, 151, 0, 0, 0, 0, 44, 37, 232
"h:\AI_Interceptor\src\lib\ruleTemplates.ts", "TypeScript", 0, 0, 0, 0, 149, 0, 0, 0, 0, 7, 5, 161
"h:\AI_Interceptor\src\lib\storage.ts", "TypeScript", 0, 0, 0, 0, 726, 0, 0, 0, 0, 171, 130, 1027
"h:\AI_Interceptor\src\lib\store.ts", "TypeScript", 0, 0, 0, 0, 263, 0, 0, 0, 0, 27, 56, 346
"h:\AI_Interceptor\src\lib\textProcessor.ts", "TypeScript", 0, 0, 0, 0, 183, 0, 0, 0, 0, 48, 33, 264
"h:\AI_Interceptor\src\lib\types.ts", "TypeScript", 0, 0, 0, 0, 310, 0, 0, 0, 0, 110, 52, 472
"h:\AI_Interceptor\src\lib\validation.ts", "TypeScript", 0, 0, 0, 0, 375, 0, 0, 0, 0, 50, 61, 486
"h:\AI_Interceptor\src\manifest.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 1, 72
"h:\AI_Interceptor\src\popup\api\chromeApi.ts", "TypeScript", 0, 0, 0, 0, 137, 0, 0, 0, 0, 90, 37, 264
"h:\AI_Interceptor\src\popup\components\activityLog.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 15, 12, 86
"h:\AI_Interceptor\src\popup\components\apiKeyModal.ts", "TypeScript", 0, 0, 0, 0, 307, 0, 0, 0, 0, 64, 65, 436
"h:\AI_Interceptor\src\popup\components\apiKeyVault.ts", "TypeScript", 0, 0, 0, 0, 284, 0, 0, 0, 0, 67, 58, 409
"h:\AI_Interceptor\src\popup\components\authModal.ts", "TypeScript", 0, 0, 0, 0, 408, 0, 0, 0, 0, 88, 109, 605
"h:\AI_Interceptor\src\popup\components\customRulesUI.ts", "TypeScript", 0, 0, 0, 0, 699, 0, 0, 0, 0, 119, 108, 926
"h:\AI_Interceptor\src\popup\components\featuresTab.ts", "TypeScript", 0, 0, 0, 0, 374, 0, 0, 0, 0, 56, 39, 469
"h:\AI_Interceptor\src\popup\components\minimalMode.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 22, 21, 113
"h:\AI_Interceptor\src\popup\components\pageStatus.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 20, 13, 76
"h:\AI_Interceptor\src\popup\components\profileModal.ts", "TypeScript", 0, 0, 0, 0, 576, 0, 0, 0, 0, 149, 145, 870
"h:\AI_Interceptor\src\popup\components\profileRenderer.ts", "TypeScript", 0, 0, 0, 0, 121, 0, 0, 0, 0, 13, 21, 155
"h:\AI_Interceptor\src\popup\components\settingsHandlers.ts", "TypeScript", 0, 0, 0, 0, 193, 0, 0, 0, 0, 60, 49, 302
"h:\AI_Interceptor\src\popup\components\statsRenderer.ts", "TypeScript", 0, 0, 0, 0, 194, 0, 0, 0, 0, 46, 37, 277
"h:\AI_Interceptor\src\popup\components\userProfile.ts", "TypeScript", 0, 0, 0, 0, 300, 0, 0, 0, 0, 90, 74, 464
"h:\AI_Interceptor\src\popup\components\utils.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 20, 9, 51
"h:\AI_Interceptor\src\popup\init\initUI.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 29, 15, 106
"h:\AI_Interceptor\src\popup\popup-v2.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 6, 31
"h:\AI_Interceptor\src\popup\popup-v2.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 804, 0, 48, 101, 953
"h:\AI_Interceptor\src\popup\popup-v2.ts", "TypeScript", 0, 0, 0, 0, 74, 0, 0, 0, 0, 31, 19, 124
"h:\AI_Interceptor\src\popup\styles\api-key-vault.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 607, 26, 125, 758
"h:\AI_Interceptor\src\popup\styles\auth.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 266, 14, 54, 334
"h:\AI_Interceptor\src\popup\styles\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 117, 11, 26, 154
"h:\AI_Interceptor\src\popup\styles\buttons.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 169, 15, 24, 208
"h:\AI_Interceptor\src\popup\styles\custom-rules.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 568, 18, 109, 695
"h:\AI_Interceptor\src\popup\styles\features.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 258, 14, 47, 319
"h:\AI_Interceptor\src\popup\styles\header.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 80, 6, 22, 108
"h:\AI_Interceptor\src\popup\styles\minimal.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 114, 6, 19, 139
"h:\AI_Interceptor\src\popup\styles\modal.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 507, 10, 99, 616
"h:\AI_Interceptor\src\popup\styles\profile-card.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 186, 11, 50, 247
"h:\AI_Interceptor\src\popup\styles\settings.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 243, 14, 51, 308
"h:\AI_Interceptor\src\popup\styles\stats.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 213, 18, 32, 263
"h:\AI_Interceptor\src\popup\styles\tabs.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 82, 4, 13, 99
"h:\AI_Interceptor\src\popup\styles\utilities.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 189, 9, 37, 235
"h:\AI_Interceptor\src\popup\styles\variables.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 205, 63, 64, 332
"h:\AI_Interceptor\src\popup\test-firebase-popup.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 12, 85
"h:\AI_Interceptor\src\popup\utils\dom.ts", "TypeScript", 0, 0, 0, 0, 111, 0, 0, 0, 0, 52, 18, 181
"h:\AI_Interceptor\src\popup\utils\formatters.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 31, 17, 119
"h:\AI_Interceptor\src\test-firebase.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 13, 16, 126
"h:\AI_Interceptor\test-results\.last-run.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"h:\AI_Interceptor\tests\aliasEngine.test.ts", "TypeScript", 0, 0, 0, 0, 163, 0, 0, 0, 0, 10, 32, 205
"h:\AI_Interceptor\tests\apiKeyDetector.test.ts", "TypeScript", 0, 0, 0, 0, 298, 0, 0, 0, 0, 11, 73, 382
"h:\AI_Interceptor\tests\e2e\chatgpt.test.ts", "TypeScript", 0, 0, 0, 0, 143, 0, 0, 0, 0, 48, 54, 245
"h:\AI_Interceptor\tests\e2e\fixtures.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 17, 12, 73
"h:\AI_Interceptor\tests\redactionEngine.test.ts", "TypeScript", 0, 0, 0, 0, 612, 0, 0, 0, 0, 8, 103, 723
"h:\AI_Interceptor\tests\serviceWorker.test.ts", "TypeScript", 0, 0, 0, 0, 433, 0, 0, 0, 0, 15, 80, 528
"h:\AI_Interceptor\tests\setup.js", "JavaScript JSX", 61, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 79
"h:\AI_Interceptor\tests\storage.test.ts", "TypeScript", 0, 0, 0, 0, 316, 0, 0, 0, 0, 22, 67, 405
"h:\AI_Interceptor\tests\textProcessor.test.ts", "TypeScript", 0, 0, 0, 0, 575, 0, 0, 0, 0, 4, 62, 641
"h:\AI_Interceptor\tests\utils.test.ts", "TypeScript", 0, 0, 0, 0, 192, 0, 0, 0, 0, 10, 33, 235
"h:\AI_Interceptor\tests\validation.test.ts", "TypeScript", 0, 0, 0, 0, 426, 0, 0, 0, 0, 10, 65, 501
"h:\AI_Interceptor\tests\xss-prevention.test.ts", "TypeScript", 0, 0, 0, 0, 318, 0, 0, 0, 0, 13, 89, 420
"h:\AI_Interceptor\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"h:\AI_Interceptor\webpack.config.js", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 50
"Total", "-", 671, 115, 8374, 35599, 12842, 42, 48, 986, 3817, 2909, 13622, 79025
